R,Team,G,P,W,D,L,GF,GA,GD,Pts.
1,Italy,E,7,5,2,0,12,2,+10,17
2,France,G,7,4,3,0,9,3,+6,15
3,Germany,A,7,5,1,1,14,6,+8,16
4,Portugal,D,7,4,1,2,7,5,+2,13
5,Brazil,F,5,4,0,1,10,2,+8,12
6,Argentina,C,5,3,2,0,11,3,+8,11
7,England,B,5,3,2,0,6,2,+4,11
8,Ukraine,H,5,2,1,2,5,7,−2,7
9,Spain,H,4,3,0,1,9,4,+5,9
10,Switzerland,G,4,2,2,0,4,0,+4,8
11,Netherlands,C,4,2,1,1,3,2,+1,7
12,Ecuador,A,4,2,0,2,5,4,+1,6
13,Ghana,E,4,2,0,2,4,6,−2,6
14,Sweden,B,4,1,2,1,3,4,−1,5
15,Mexico,D,4,1,1,2,5,5,0,4
16,Australia,F,4,1,1,2,5,6,−1,4
17,South Korea,G,3,1,1,1,3,4,−1,4
18,Paraguay,B,3,1,0,2,2,2,0,3
19,Ivory Coast,C,3,1,0,2,5,6,−1,3
20,Czech Republic,E,3,1,0,2,3,4,−1,3
21,Poland,A,3,1,0,2,2,4,−2,3
22,Croatia,F,3,0,2,1,2,3,−1,2
23,Angola,D,3,0,2,1,1,2,−1,2
24,Tunisia,H,3,0,1,2,3,6,−3,1
25,Iran,D,3,0,1,2,2,6,−4,1
25,United States,E,3,0,1,2,2,6,−4,1
27,Trinidad and Tobago,B,3,0,1,2,0,4,−4,1
28,Japan,F,3,0,1,2,2,7,−5,1
28,Saudi Arabia,H,3,0,1,2,2,7,−5,1
30,Togo,G,3,0,0,3,1,6,−5,0
31,Costa Rica,A,3,0,0,3,3,9,−6,0
32,Serbia and Montenegro,C,3,0,0,3,2,10,−8,0
