R,Team,G,P,W,D,L,GF,GA,GD,Pts
1,Uruguay,3,4,4,0,0,15,3,+12,8
2,Argentina,1,5,4,0,1,18,9,+9,8
3,United States,4,3,2,0,1,7,6,+1,4
4,Yugoslavia,2,3,2,0,1,7,7,0,4
5,Chile,1,3,2,0,1,5,3,+2,4
6,Brazil,2,2,1,0,1,5,2,+3,2
7,France,1,3,1,0,2,4,3,+1,2
8,Romania,3,2,1,0,1,3,5,−2,2
9,Paraguay,4,2,1,0,1,1,3,−2,2
10,Peru,3,2,0,0,2,1,4,−3,0
11,Belgium,4,2,0,0,2,0,4,−4,0
12,Bolivia,2,2,0,0,2,0,8,−8,0
13,Mexico,1,3,0,0,3,4,13,−9,0
