Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,East Germany,3,2,1,0,4,1,+3,5
2,West Germany,3,2,0,1,4,1,+3,4
3,Chile,3,0,2,1,1,2,−1,2
4,Australia,3,0,1,2,0,5,−5,1
