Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Argentina,3,3,0,0,7,1,+6,9
2,South Korea,3,1,1,1,5,6,−1,4
3,Greece,3,1,0,2,2,5,−3,3
4,Nigeria,3,0,1,2,3,5,−2,1
