Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Sweden,3,1,2,0,4,3,+1,5
2,England,3,1,2,0,2,1,+1,5
3,Argentina,3,1,1,1,2,2,0,4
4,Nigeria,3,0,1,2,1,3,−2,1
