Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Hungary,2,2,0,0,17,3,+14,4
2,West Germany,2,1,0,1,7,9,−2,2[a]
3,Turkey,2,1,0,1,8,4,+4,2[a]
4,South Korea,2,0,0,2,0,16,−16,0
