Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,West Germany,3,3,0,0,10,4,+6,6
2,Peru,3,2,0,1,7,5,+2,4
3,Bulgaria,3,0,1,2,5,9,−4,1
4,Morocco,3,0,1,2,2,6,−4,1
