Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,France,3,2,1,0,3,1,+2,7
2,Denmark,3,1,2,0,2,1,+1,5
3,Peru,3,1,0,2,2,2,0,3
4,Australia,3,0,1,2,2,5,−3,1
