Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Netherlands,3,3,0,0,8,0,+8,6
2,Brazil,3,2,0,1,3,3,0,4
3,East Germany,3,0,1,2,1,4,−3,1
4,Argentina,3,0,1,2,2,7,−5,1
