Pos,Team,Team,Pld,W,D,L,GF,GA,GD,Pts
1,D,Argentina,3,2,0,1,6,3,+3,6
2,F,Belgium,3,2,0,1,2,1,+1,6
3,A,United States,3,1,1,1,3,3,0,4
4,E,Italy,3,1,1,1,2,2,0,4
5,B,Russia,3,1,0,2,7,6,+1,3
6,C,South Korea,3,0,2,1,4,5,−1,2
