Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Austria,3,2,0,1,3,2,+1,4
2,Brazil,3,1,2,0,2,1,+1,4
3,Spain,3,1,1,1,2,2,0,3
4,Sweden,3,0,1,2,1,3,−2,1
