Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Poland,3,2,1,0,4,1,+3,5
2,West Germany,3,1,2,0,6,0,+6,4
3,Tunisia,3,1,1,1,3,2,+1,3
4,Mexico,3,0,0,3,2,12,−10,0
