Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Netherlands,3,3,0,0,5,1,+4,9
2,Japan,3,2,0,1,4,2,+2,6
3,Denmark,3,1,0,2,3,6,−3,3
4,Cameroon,3,0,0,3,2,5,−3,0
