Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,United States,3,1,2,0,4,3,+1,5
2,England,3,1,2,0,2,1,+1,5
3,Slovenia,3,1,1,1,3,3,0,4
4,Algeria,3,0,1,2,0,2,−2,1
