Pos,Team,Team,Pld,W,D,L,GF,GA,GD,Pts
1,B,Argentina,3,1,1,1,3,2,+1,3
2,D,Colombia,3,1,1,1,3,2,+1,3
3,F,Netherlands,3,0,3,0,2,2,0,3
4,E,Uruguay,3,1,1,1,2,3,−1,3
5,A,Austria,3,1,0,2,2,3,−1,2
6,C,Scotland,3,1,0,2,2,3,−1,2
