Pos,Team,Pld,W,D,L,GF,GA,GR,Pts
1,England,3,2,1,0,4,0,—,5
2,Uruguay,3,1,2,0,2,1,2.000,4
3,Mexico,3,0,2,1,1,3,0.333,2
4,France,3,0,1,2,2,5,0.400,1
