Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Brazil,3,2,0,1,3,1,+2,6
2,Switzerland,3,2,0,1,4,3,+1,6
3,Cameroon,3,1,1,1,4,4,0,4
4,Serbia,3,0,1,2,5,8,−3,1
