Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Argentina,3,3,0,0,6,3,+3,9
2,Nigeria,3,1,1,1,3,3,0,4
3,Bosnia and Herzegovina,3,1,0,2,4,4,0,3
4,Iran,3,0,1,2,1,4,−3,1
