Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Italy,3,2,1,0,7,3,+4,7
2,Chile,3,0,3,0,4,4,0,3
3,Austria,3,0,2,1,3,4,−1,2
4,Cameroon,3,0,2,1,2,5,−3,2
