Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Poland,3,1,2,0,5,1,+4,4
2,Italy,3,0,3,0,2,2,0,3
3,Cameroon,3,0,3,0,1,1,0,3
4,Peru,3,0,2,1,2,6,−4,2
