Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,United States,2,2,0,0,6,0,+6,4
2,Paraguay,2,1,0,1,1,3,−2,2
3,Belgium,2,0,0,2,0,4,−4,0
