Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Argentina,3,2,0,1,5,2,+3,6
2,Poland,3,1,1,1,2,2,0,4
3,Mexico,3,1,1,1,2,3,−1,4
4,Saudi Arabia,3,1,0,2,3,5,−2,3
