Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Belgium,3,3,0,0,9,2,+7,9
2,England,3,2,0,1,8,3,+5,6
3,Tunisia,3,1,0,2,5,8,−3,3
4,Panama,3,0,0,3,2,11,−9,0
