Pos,Team,Pld,W,D,L,GF,GA,GR,Pts
1,West Germany,3,2,1,0,7,1,7.0,5[a]
2,Argentina,3,2,1,0,4,1,4.0,5[a]
3,Spain,3,1,0,2,4,5,0.8,2
4,Switzerland,3,0,0,3,1,9,0.111,0
