Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Germany (H),3,3,0,0,8,2,+6,9
2,Ecuador,3,2,0,1,5,3,+2,6
3,Poland,3,1,0,2,2,4,−2,3
4,Costa Rica,3,0,0,3,3,9,−6,0
