Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,West Germany,3,2,1,0,10,3,+7,5
2,Yugoslavia,3,2,0,1,6,5,+1,4
3,Colombia,3,1,1,1,3,2,+1,3
4,United Arab Emirates,3,0,0,3,2,11,−9,0
