Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Germany,3,2,1,0,6,2,+4,7
2,FR Yugoslavia,3,2,1,0,4,2,+2,7
3,Iran,3,1,0,2,2,4,−2,3
4,United States,3,0,0,3,1,5,−4,0
