Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Mexico (H),3,2,1,0,4,2,+2,5
2,Paraguay,3,1,2,0,4,3,+1,4
3,Belgium,3,1,1,1,5,5,0,3
4,Iraq,3,0,0,3,1,4,−3,0
