Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Northern Ireland,3,1,2,0,2,1,+1,4
2,Spain (H),3,1,1,1,3,3,0,3
3,Yugoslavia,3,1,1,1,2,2,0,3
4,Honduras,3,0,2,1,2,3,−1,2
