Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Brazil,3,3,0,0,5,0,+5,6
2,Spain,3,2,0,1,5,2,+3,4
3,Northern Ireland,3,0,1,2,2,6,−4,1
4,Algeria,3,0,1,2,1,5,−4,1
