Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Netherlands,3,3,0,0,10,3,+7,9
2,Chile,3,2,0,1,5,3,+2,6
3,Spain,3,1,0,2,4,7,−3,3
4,Australia,3,0,0,3,3,9,−6,0
