Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,England,3,3,0,0,6,1,+5,6
2,France,3,1,1,1,6,5,+1,3
3,Czechoslovakia,3,0,2,1,2,4,−2,2
4,Kuwait,3,0,1,2,2,6,−4,1
