Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Brazil,2,1,1,0,6,1,+5,3
2,Yugoslavia,2,1,1,0,2,1,+1,3
3,France,2,1,0,1,3,3,0,2
4,Mexico,2,0,0,2,2,8,−6,0
