Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,West Germany,3,3,0,0,7,2,+5,6
2,Poland,3,2,0,1,3,2,+1,4
3,Sweden,3,1,0,2,4,6,−2,2
4,Yugoslavia,3,0,0,3,2,6,−4,0
