Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Mexico,3,1,1,1,3,3,0,4
2,Republic of Ireland,3,1,1,1,2,2,0,4
3,Italy,3,1,1,1,2,2,0,4
4,Norway,3,1,1,1,1,1,0,4
