Pos,Team,Pld,W,D,L,GF,GA,GR,Pts
1,Sweden,3,2,1,0,5,1,5.0,5
2,Wales,3,0,3,0,2,2,1.0,3
3,Hungary,3,1,1,1,6,3,2.0,3
4,Mexico,3,0,1,2,1,8,0.125,1
