Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Netherlands,3,2,1,0,5,1,+4,7
2,Senegal,3,2,0,1,5,4,+1,6
3,Ecuador,3,1,1,1,4,3,+1,4
4,Qatar (H),3,0,0,3,1,7,−6,0
