Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Colombia,3,2,0,1,5,2,+3,6
2,Japan,3,1,1,1,4,4,0,4[a]
3,Senegal,3,1,1,1,4,4,0,4[a]
4,Poland,3,1,0,2,2,5,−3,3
