Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Peru,3,2,1,0,7,2,+5,5
2,Netherlands,3,1,1,1,5,3,+2,3
3,Scotland,3,1,1,1,5,6,−1,3
4,Iran,3,0,1,2,2,8,−6,1
