Pos,Team,Pld,W,D,L,GF,GA,GR,Pts
1,Hungary,3,2,1,0,8,2,4.0,5
2,England,3,1,1,1,4,3,1.333,3[a]
3,Argentina,3,1,1,1,2,3,0.667,3[a]
4,Bulgaria,3,0,1,2,1,7,0.143,1
