Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Italy,3,3,0,0,6,2,+4,6
2,Argentina,3,2,0,1,4,3,+1,4
3,France,3,1,0,2,5,5,0,2
4,Hungary,3,0,0,3,3,8,−5,0
