Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Netherlands,3,2,1,0,9,4,+5,5
2,Italy,3,1,1,1,2,2,0,3
3,West Germany,3,0,2,1,4,5,−1,2
4,Austria,3,1,0,2,4,8,−4,2
