Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,England,3,2,1,0,5,2,+3,7
2,Sweden,3,1,2,0,3,2,+1,5
3,Paraguay,3,1,0,2,2,2,0,3
4,Trinidad and Tobago,3,0,1,2,0,4,−4,1
