Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Uruguay,3,3,0,0,5,0,+5,9
2,Russia (H),3,2,0,1,8,4,+4,6
3,Saudi Arabia,3,1,0,2,2,7,−5,3
4,Egypt,3,0,0,3,2,6,−4,0
