Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Yugoslavia,3,1,2,0,10,1,+9,4
2,Brazil,3,1,2,0,3,0,+3,4
3,Scotland,3,1,2,0,3,1,+2,4
4,Zaire,3,0,0,3,0,14,−14,0
