Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,England,3,1,2,0,2,1,+1,4
2,Republic of Ireland,3,0,3,0,2,2,0,3[a]
3,Netherlands,3,0,3,0,2,2,0,3[a]
4,Egypt,3,0,2,1,1,2,−1,2
