Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Germany,3,2,1,0,11,1,+10,7
2,Republic of Ireland,3,1,2,0,5,2,+3,5
3,Cameroon,3,1,1,1,2,3,−1,4
4,Saudi Arabia,3,0,0,3,0,12,−12,0
