Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Brazil,3,3,0,0,11,3,+8,9
2,Turkey,3,1,1,1,5,3,+2,4
3,Costa Rica,3,1,1,1,5,6,−1,4
4,China,3,0,0,3,0,9,−9,0
