Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,South Korea (H),3,2,1,0,4,1,+3,7
2,United States,3,1,1,1,5,6,−1,4
3,Portugal,3,1,0,2,6,4,+2,3
4,Poland,3,1,0,2,3,7,−4,3
