Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Denmark,3,2,1,0,5,2,+3,7
2,Senegal,3,1,2,0,5,4,+1,5
3,Uruguay,3,0,2,1,4,5,−1,2
4,France,3,0,1,2,0,3,−3,1
