Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,West Germany,3,2,0,1,6,3,+3,4
2,Austria,3,2,0,1,3,1,+2,4
3,Algeria,3,2,0,1,5,5,0,4
4,Chile,3,0,0,3,3,8,−5,0
