Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Denmark,3,3,0,0,9,1,+8,6
2,West Germany,3,1,1,1,3,4,−1,3
3,Uruguay,3,0,2,1,2,7,−5,2
4,Scotland,3,0,1,2,1,3,−2,1
