Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Italy,3,1,2,0,1,0,+1,4
2,Uruguay,3,1,1,1,2,1,+1,3
3,Sweden,3,1,1,1,2,2,0,3
4,Israel,3,0,2,1,1,3,−2,2
