Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Germany,3,2,1,0,7,2,+5,7
2,United States,3,1,1,1,4,4,0,4
3,Portugal,3,1,1,1,4,7,−3,4
4,Ghana,3,0,1,2,4,6,−2,1
