Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Germany,3,2,1,0,5,3,+2,7
2,Spain,3,1,2,0,6,4,+2,5
3,South Korea,3,0,2,1,4,5,−1,2
4,Bolivia,3,0,1,2,1,4,−3,1
