Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Nigeria,3,2,0,1,5,5,0,6
2,Paraguay,3,1,2,0,3,1,+2,5
3,Spain,3,1,1,1,8,4,+4,4
4,Bulgaria,3,0,1,2,1,7,−6,1
