Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Uruguay,2,2,0,0,5,0,+5,4
2,Romania,2,1,0,1,3,5,−2,2
3,Peru,2,0,0,2,1,4,−3,0
