Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Poland,3,3,0,0,12,3,+9,6
2,Argentina,3,1,1,1,7,5,+2,3
3,Italy,3,1,1,1,5,4,+1,3
4,Haiti,3,0,0,3,2,14,−12,0
