Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Belgium,3,2,1,0,3,1,+2,5
2,Argentina,3,2,0,1,6,2,+4,4
3,Hungary,3,1,1,1,12,6,+6,3
4,El Salvador,3,0,0,3,1,13,−12,0
