Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Morocco,3,1,2,0,3,1,+2,4
2,England,3,1,1,1,3,1,+2,3
3,Poland,3,1,1,1,1,3,−2,3
4,Portugal,3,1,0,2,2,4,−2,2
