Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Germany,3,2,0,1,5,1,+4,6
2,Ghana,3,1,1,1,2,2,0,4
3,Australia,3,1,1,1,3,6,−3,4
4,Serbia,3,1,0,2,2,3,−1,3
