Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Nigeria,3,2,0,1,6,2,+4,6
2,Bulgaria,3,2,0,1,6,3,+3,6
3,Argentina,3,2,0,1,6,3,+3,6
4,Greece,3,0,0,3,0,10,−10,0
