Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Japan (H),3,2,1,0,5,2,+3,7
2,Belgium,3,1,2,0,6,5,+1,5
3,Russia,3,1,0,2,4,4,0,3
4,Tunisia,3,0,1,2,1,5,−4,1
