Pos,Team,Pld,W,D,L,GF,GA,GD,Pts
1,Soviet Union,3,2,1,0,6,1,+5,5[a]
2,Mexico,3,2,1,0,5,0,+5,5[a]
3,Belgium,3,1,0,2,4,5,−1,2
4,El Salvador,3,0,0,3,0,9,−9,0
